,index,SNR,species,lead,planet,observation,instrument,year,detection?,doppler shifts,new data?,analysis type,tellurics,url,analysis method,VMR,VMR_err1,VMR_err2,doppler shift,metallicity,metallicity_err1,metallicity_err2,c/o,c/o_err1,c/o_err2,comments,Doppler shifts,comment
209,0,0.0,H2O,webb,Tau bootis b,transit,CARMENES,2022,,,True,Likelihood isothermal forward model (GENESIS),airmass detrending,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,,,,,,,,,,
210,1,,CH4,webb,Tau bootis b,transit,CARMENES,2022,,,True,Likelihood isothermal forward model (GENESIS),airmass detrending,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,,,,,,,,,,
211,2,,HCN,webb,Tau bootis b,transit,CARMENES,2022,,,True,Likelihood isothermal forward model (GENESIS),airmass detrending,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,,,,,,,,,,
212,3,,NH3,webb,Tau bootis b,transit,CARMENES,2022,,,True,Likelihood isothermal forward model (GENESIS),airmass detrending,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,,,,,,,,,,
213,4,,C2H2,webb,Tau bootis b,transit,CARMENES,2022,,,True,Likelihood isothermal forward model (GENESIS),airmass detrending,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,,,,,,,,,,
214,0,9.94,H2O,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,0.0,,,,,,,,,
215,1,4.08,CH4,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,-1.0,,,,,,,,,
216,2,7.73,NH3,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,0.0,,,,,,,,,
217,3,4.3,HCN,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,0.0,,,,,,,,,
218,4,3.88,C2H2,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,-69.0,,,,,,,,,
219,5,6.33,CO,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,-3.0,,,,,,,,,
220,6,7.0,CO2,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,-1.0,,,,,,,,,
221,0,6.3,CH4,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,-1.0,,,,,,,,,
222,1,5.4,NH3,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,2.0,,,,,,,,,
223,2,7.0,CO,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,2.0,,,,,,,,,
224,3,4.5,C2H2,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,-2.0,,,,,,,,,
225,4,5.0,H2O,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,1.0,,,,,,,,,
226,5,,HCN,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,,,,,,,,,,
227,6,,CO2,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,,,,,,,,,,
228,0,0.0,Fe,bourrier,WASP-121 b,transit,HARPS,2020,,-5.1,True,Line-fitting,airmass detrending,https://www.aanda.org/articles/aa/abs/2020/06/aa37316-19/aa37316-19.html,,,,,,,,,,,,,,
229,0,,H alpha,F Borsa,WASP-33 b,transit,HARPS,2021,,,,,,,,,,,,,,,,,,,,
230,1,,H beta,F Borsa,WASP-33 b,transit,HARPS,2021,,,,,,,,,,,,,,,,,,,,
231,0,0.0,H2O,wang,HR 8799c,emission,NIRSPEC,2018,,,,,,,,,,,,,,,,,,,,
232,0,8.0,Cr,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
233,1,17.0,Fe,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
234,2,14.0,Fe,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
235,3,8.1,Mg,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
236,4,6.5,Mn,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
237,5,8.7,Ti,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
238,6,9.7,Ti+,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
239,7,5.6,TiO,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
240,8,6.2,VO,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
241,9,4.4,Ca,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
242,10,3.9,Ca+,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
243,11,3.2,Na,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
244,12,4.4,Ni,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
245,13,3.0,Sc,prinoth,WASP-189 b,transit,"HARPS, HARPS-N",2022,,0.0,,,,,,,,,,,,,,,,,,
246,0,24.6,H alpha,wyttenbach,KELT-9 b,transit,HARPS,2020,,2.1,,,,,,,,,,,,,,,,,,
247,1,17.0,H beta,wyttenbach,KELT-9 b,transit,HARPS,2020,,-1.7,,,,,,,,,,,,,,,,,,
248,2,6.28,H gamma,wyttenbach,KELT-9 b,transit,HARPS,2020,,0.9,,,,,,,,,,,,,,,,,,
249,3,4.69,H delta,wyttenbach,KELT-9 b,transit,HARPS,2020,,-4.6,,,,,,,,,,,,,,,,,,
250,4,2.78,H epsilon,wyttenbach,KELT-9 b,transit,HARPS,2020,,-15.0,,,,,,,,,,,,,,,,,,
251,0,4.5,Na,wyttenbach,WASP-49 b,transit,HARPS,2017,,-1.7,True,Line-fitting,airmass detrending,https://www.aanda.org/component/article?access=doi&doi=10.1051/0004-6361/201630063,,,,,,,,,,,,,,
252,0,0.0,CO,zhang,TYC 8998-760-1 b,direct imaging,SPIRou,2021,,,True,line-fitting,molecfit,https://iopscience.iop.org/article/10.3847/1538-3881/ab6e66/pdf,,,,,,,,,,,,,,
253,0,,,Scandariato,51 Peg b,reflected light,"HARPS, HARPS-N",2020,,,True,stellar spectrum,,,,,,,,,,,,,,,,
254,0,,He,fossati,WASP-80 b,transit,"HARPS-N, GIANO-B",2021,,,True,self-consistent forward models,airmass detrending,https://www.aanda.org/articles/aa/abs/2022/02/aa42336-21/aa42336-21.html,,,,,,,,,,,,,,
255,0,,H2O,Allart,HD 189733 b,transit,HARPS,2017,,,True,self-consistent forward models,molecfit,https://www.aanda.org/articles/aa/pdf/2017/10/aa30814-17.pdf,,,,,,,,,,,,,,
256,0,6.6,H2O,alonso-floriano,HD 189733 b,transit,CARMENES,2022,,,True,self-consistent forward models,sysrem,https://www.aanda.org/articles/aa/abs/2019/01/aa34339-18/aa34339-18.html,,,,,,,,,,,,,,
257,0,0.0,Na,kawauchi,WASP-76 b,transit,HDS,2022,,,True,line-fitting,,https://academic.oup.com/pasj/article-abstract/74/2/225/6516560?login=true,,,,,,,,,,,,,,
258,0,,,coustenis,51 Peg b,emission,CSHELL,1998,,,True,line-fitting,,https://adsabs.harvard.edu/pdf/1998ASPC..134..296C,,,,,,,,,,,,,,
260,0,3.0,,martins,51 Peg b,reflected light,CARMENES,2014,,,True,stellar mask,,https://www.aanda.org/articles/aa/abs/2015/04/aa25298-14/aa25298-14.html,,,,,,,,,,,,,,
261,0,4.8,TiO,nugroho,WASP-33 b,transit,HDS,2017,,,True,parameterized forward model,sysrem,https://ui.adsabs.harvard.edu/abs/2017AJ....154..221N/abstract,,,,,,,,,,,,,,
262,0,3.0,Na,redfield,HD 189733 b,transit,HRS,2008,,,True,line-fitting,,https://iopscience.iop.org/article/10.1086/527475/pdf,,,,,,,,,,,,,,
263,0,0.0,Na,Pino,HD 189733 b,transit,HARPS,2018,,,False,parameterized forward model,,https://www.aanda.org/articles/aa/pdf/2018/04/aa31244-17.pdf,,,,,,,,,,,,,,
264,0,,TiO,Herman,WASP-33 b,emission,ESPaDOnS,2020,,,True,parameterized forward model,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/ab9e77/meta,,,,,,,,,,,,,,
265,0,,TiO,charbonneau,Tau bootis b,emission,Keck Hires,1999,,,True,stellar spectrum,,https://iopscience.iop.org/article/10.1086/312234/pdf,,,,,,,,,,,,,,
266,0,0.0,CO,Flagg,CI Tau b,direct imaging,IGRINS,2019,,,True,A0V spectrum,,https://iopscience.iop.org/article/10.3847/2041-8213/ab276d/pdf,,,,,,,,,,,,,,
267,0,0.0,Na,Borsa,HD 189733 b,transit,HARPS,2018,,,False,stellar mask,,https://www.aanda.org/articles/aa/pdf/2018/09/aa33415-18.pdf,,,,,,,,,,,,,,
268,0,0.0,Na,Langveld,HD 189733 b,transit,HARPS,2018,,,False,line-fitting,,https://academic.oup.com/mnras/article/502/3/4392/6102527,,,,,,,,,,,,,,
269,0,,TiO,Merritt,WASP-121 b,transit,HARPS,2020,,,False,parameterized forward models,sysrem,https://www.aanda.org/articles/aa/pdf/2020/04/aa37409-19.pdf,,,,,,,,,,,,,,
270,1,,VO,Merritt,WASP-121 b,transit,HARPS,2020,,,False,parameterized forward models,sysrem,https://www.aanda.org/articles/aa/pdf/2020/04/aa37409-19.pdf,,,,,,,,,,,,,,
271,0,,FeH,kesseli,GJ 436 b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,,,,,,,,,,,,
272,0,,FeH,kesseli,HAT-P-11 b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,,,,,,,,,,,,
273,0,4.4,Ti,Ishizuka,HD 149026b,transit,Subaru/IRD,2021,,,True,isothermal forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abdb25/pdf,,,,,,,,,,,,,,
274,1,2.8,Fe,Ishizuka,HD 149026b,transit,Subaru/IRD,2021,,,True,isothermal forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abdb25/pdf,,,,,,,,,,,,,,
277,0,,FeH,kesseli,WASP-107 b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,,,,,,,,,,,,
278,0,,FeH,Kesseli,WASP-69 b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,,,,,,,,,,,,
279,0,,FeH,Kesseli,HD 189733 b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,,,,,,,,,,,,
280,0,,FeH,Kesseli,HD 209458 b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,,,,,,,,,,,,
281,0,,FeH,Kesseli,HAT-P-32A b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,,,,,,,,,,,,
282,0,,FeH,Kesseli,WASP-76 b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,,,,,,,,,,,,
283,0,,FeH,Kesseli,HAT-P-57 b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,,,,,,,,,,,,
284,0,,FeH,Kesseli,KELT-9 b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,,,,,,,,,,,,
285,0,3.0,FeH,Kesseli,WASP-33 b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,,,,,,,,,,,,
286,0,3.0,FeH,Kesseli,MASCARA-2 b,transit,CARMENES,2020,,,False,parameterized forward models,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,,,,,,,,,,,,
287,0,4.8,H2O,cabot,HD 189733 b,transmission,CRIRES,2019,,,False,PHOENIX stellar spectrum,sysrem and airmass detrending,https://academic.oup.com/mnras/article/482/4/4422/5173097,,,,,,,,,,,,,,
288,1,4.7,CO,cabot,HD 189733 b,transmission,CRIRES,2019,,,False,PHOENIX stellar spectrum,sysrem and airmass detrending,https://academic.oup.com/mnras/article/482/4/4422/5173097,,,,,,,,,,,,,,
289,2,5.0,HCN,cabot,HD 189733 b,transmission,CRIRES,2019,,,False,PHOENIX stellar spectrum,sysrem and airmass detrending,https://academic.oup.com/mnras/article/482/4/4422/5173097,,,,,,,,,,,,,,
290,0,,,J Hoeijmakers,tau boo,reflected light,HARPS-N,2017,,,False,PHOENIX stellar spectrum,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/abb59c/pdf,,,,,,,,,,,,,,
291,0,6.89,CO,rasmussen,HD 179949,emission,CRIRES,2022,,,False,3D forward model: GCM,airmass detrending,https://iopscience.iop.org/article/10.3847/1538-3881/ac6bfa/meta#ajac6bfas4,,,,,,,,,,,,,,
292,1,6.89,H2O,rasmussen,HD 179949,emission,CRIRES,2022,,,False,3D forward model: GCM,airmass detrending,https://iopscience.iop.org/article/10.3847/1538-3881/ac6bfa/meta#ajac6bfas4,,,,,,,,,,,,,,
293,0,9.71,CO,rasmussen,HD 209458 b,emission,CRIRES,2022,,,False,3D forward model: GCM,airmass detrending,https://iopscience.iop.org/article/10.3847/1538-3881/ac6bfa/meta#ajac6bfas4,,,,,,,,,,,,,,
294,0,0.0,H2O,konopacky,HR 8799 c,direct imaging,OSIRIS,2013,,,True,parameterized models,sysrem,https://www.science.org/doi/full/10.1126/science.1232003?casa_token=Pbo4WwD8tOUAAAAA%3AbT1-OkoIrFlc-RaWQBW9YbyXbuJst825y64bXNqlIunXP8vVGs1OBriBwruR5VJq1F1Q_lzlixG-dA,,,,,,,,,,,,,,
295,1,0.0,CO,konopacky,HR 8799 c,direct imaging,OSIRIS,2013,,,True,parameterized models,sysrem,https://www.science.org/doi/full/10.1126/science.1232003?casa_token=Pbo4WwD8tOUAAAAA%3AbT1-OkoIrFlc-RaWQBW9YbyXbuJst825y64bXNqlIunXP8vVGs1OBriBwruR5VJq1F1Q_lzlixG-dA,,,,,,,,,,,,,,
296,2,,CH4,konopacky,HR 8799 c,direct imaging,OSIRIS,2013,,,True,parameterized models,sysrem,https://www.science.org/doi/full/10.1126/science.1232003?casa_token=Pbo4WwD8tOUAAAAA%3AbT1-OkoIrFlc-RaWQBW9YbyXbuJst825y64bXNqlIunXP8vVGs1OBriBwruR5VJq1F1Q_lzlixG-dA,,,,,,,,,,,,,,
297,0,,H2O,meech,MASCARA-1 b,emission,CRIRES+,2022,,,True,self-consistent model grid,"Gaussian process, airmass scaling",https://academic.oup.com/mnras/article/512/2/2604/6547777,,,,,,,,,,,,,,
298,1,,CO2,meech,MASCARA-1 b,emission,CRIRES+,2022,,,True,self-consistent model grid,"Gaussian process, airmass scaling",https://academic.oup.com/mnras/article/512/2/2604/6547777,,,,,,,,,,,,,,
299,0,5.3,H2O,holmberg,MASCARA-1 b,emission,CRIRES+,2022,,,True,self-consistent model grid,ESO sky model,https://iopscience.iop.org/article/10.3847/1538-3881/ac77eb/meta,,,,,,,,,,,,,,
300,1,12.9,CO,holmberg,MASCARA-1 b,emission,CRIRES+,2022,,,True,self-consistent model grid,ESO sky model,https://iopscience.iop.org/article/10.3847/1538-3881/ac77eb/meta,,,,,,,,,,,,,,
301,0,,H2O,cubillos,HD 217107,emission,Phoenix,2011,,,True,self-consistent model grid,masking (?),https://www.aanda.org/articles/aa/abs/2011/05/aa15802-10/aa15802-10.html,,,,,,,,,,,,,,
302,0,,Na,seidel,WASP-127 b,transit,HARPS,2020,,,True,self-consistent model grid,masking (?),https://www.aanda.org/articles/aa/pdf/2020/11/aa39058-20.pdf,,,,,,,,,,,,,,
303,0,3.2,TiO,sedaghati,WASP-19 b,transit,ESPRESSO,2021,,,True,self-consistent forward models,ATRAN,https://academic.oup.com/mnras/article-abstract/505/1/435/6247610?redirectedFrom=PDF,,,,,,,,,,,,,,
304,1,,Fe,sedaghati,WASP-19 b,transit,ESPRESSO,2021,,,True,self-consistent forward models,ATRAN,https://academic.oup.com/mnras/article-abstract/505/1/435/6247610?redirectedFrom=PDF,,,,,,,,,,,,,,
305,0,5.0,CO,J Wang,HR 8799 e,direct imaging,Keck Planet Imager and Characterizer,2021,,,True,self-consistent forward models,ATRAN,https://iopscience.iop.org/article/10.3847/1538-3881/ac1349/pdf,,,,,,,,,,,,,,
306,1,5.0,H2O,J Wang,HR 8799 e,direct imaging,Keck Planet Imager and Characterizer,2021,,,True,self-consistent forward models,ATRAN,https://iopscience.iop.org/article/10.3847/1538-3881/ac1349/pdf,,,,,,,,,,,,,,
307,2,,CH4,J Wang,HR 8799 e,direct imaging,Keck Planet Imager and Characterizer,2021,,,True,self-consistent forward models,ATRAN,https://iopscience.iop.org/article/10.3847/1538-3881/ac1349/pdf,,,,,,,,,,,,,,
308,0,5.0,CO,J Wang,HR 8799 c,direct imaging,Keck Planet Imager and Characterizer,2021,,,True,self-consistent forward models,ATRAN,https://iopscience.iop.org/article/10.3847/1538-3881/ac1349/pdf,,,,,,,,,,,,,,
309,1,6.0,H2O,J Wang,HR 8799 c,direct imaging,Keck Planet Imager and Characterizer,2021,,,True,self-consistent forward models,ATRAN,https://iopscience.iop.org/article/10.3847/1538-3881/ac1349/pdf,,,,,,,,,,,,,,
310,2,,CH4,J Wang,HR 8799 c,direct imaging,Keck Planet Imager and Characterizer,2021,,,True,self-consistent forward models,ATRAN,https://iopscience.iop.org/article/10.3847/1538-3881/ac1349/pdf,,,,,,,,,,,,,,
311,0,5.0,CO,J Wang,HR 8799 d,direct imaging,Keck Planet Imager and Characterizer,2021,,,True,self-consistent forward models,ATRAN,https://iopscience.iop.org/article/10.3847/1538-3881/ac1349/pdf,,,,,,,,,,,,,,
312,1,5.0,H2O,J Wang,HR 8799 d,direct imaging,Keck Planet Imager and Characterizer,2021,,,True,self-consistent forward models,ATRAN,https://iopscience.iop.org/article/10.3847/1538-3881/ac1349/pdf,,,,,,,,,,,,,,
313,2,,CH4,J Wang,HR 8799 d,direct imaging,Keck Planet Imager and Characterizer,2021,,,True,self-consistent forward models,ATRAN,https://iopscience.iop.org/article/10.3847/1538-3881/ac1349/pdf,,,,,,,,,,,,,,
314,0,3.0,CO,J Wang,HR 8799 b,direct imaging,Keck Planet Imager and Characterizer,2021,,,True,self-consistent forward models,ATRAN,https://iopscience.iop.org/article/10.3847/1538-3881/ac1349/pdf,,,,,,,,,,,,,,
315,1,3.0,H2O,J Wang,HR 8799 b,direct imaging,Keck Planet Imager and Characterizer,2021,,,True,self-consistent forward models,ATRAN,https://iopscience.iop.org/article/10.3847/1538-3881/ac1349/pdf,,,,,,,,,,,,,,
316,2,,CH4,J Wang,HR 8799 b,direct imaging,Keck Planet Imager and Characterizer,2021,,,True,self-consistent forward models,ATRAN,https://iopscience.iop.org/article/10.3847/1538-3881/ac1349/pdf,,,,,,,,,,,,,,
317,0,7.0,Na,mccloat,KELT-10 b,transit,UVES,2021,,,True,retrieval,molecfit,https://iopscience.iop.org/article/10.3847/1538-3881/ac132b/pdf,,,,,,,,,,,,,,
318,0,9.8,Fe,kasper,KELT-20 b,emission,MAROON-X,2022,,,True,retrieval,SVD (PCA?),https://arxiv.org/pdf/2208.04759.pdf,,,,,,,,,,,,,,
319,1,4.7,Ni,kasper,KELT-20 b,emission,MAROON-X,2022,,,True,retrieval,SVD (PCA?),https://arxiv.org/pdf/2208.04759.pdf,,,,,,,,,,,,,,
320,0,,He,kasper,GJ 9827d b,transit,KECK/NIRSPEC,2020,,,True,self-consistent model grid,Molecfit,https://iopscience.iop.org/article/10.3847/1538-3881/abbee6/meta,,,,,,,,,,,,,,
321,0,,He,kasper,GJ 97658 b,transit,KECK/NIRSPEC,2020,,,True,self-consistent model grid,Molecfit,https://iopscience.iop.org/article/10.3847/1538-3881/abbee6/meta,,,,,,,,,,,,,,
322,0,,Na,khalafinejad,WASP-17 b,transit,MIKE,2018,,,True,self-consistent model grid,Moehler et al. (2014) transmission spectrum,https://www.aanda.org/articles/aa/abs/2018/10/aa32029-17/aa32029-17.html,,,,,,,,,,,,,,
323,0,0.0,Fe+,pai asnodkar,KELT-9 b,transit,PEPSI,2022,,,True,self-consistent model grid,?,https://iopscience.iop.org/article/10.3847/1538-3881/ac51d2/pdf,,,,,,,,,,,,,,
324,0,,H alpha,Tabernero,KELT-7 b,transit,Horus,2022,,,True,,,https://academic.oup.com/mnras/article-abstract/515/1/1247/6646523,,,,,,,,,,,,,,
325,1,,Li I,Tabernero,KELT-7 b,transit,Horus,2022,,,True,,,https://academic.oup.com/mnras/article-abstract/515/1/1247/6646523,,,,,,,,,,,,,,
326,2,,Na I,Tabernero,KELT-7 b,transit,Horus,2022,,,True,,,https://academic.oup.com/mnras/article-abstract/515/1/1247/6646523,,,,,,,,,,,,,,
327,3,,Mg I,Tabernero,KELT-7 b,transit,Horus,2022,,,True,,,https://academic.oup.com/mnras/article-abstract/515/1/1247/6646523,,,,,,,,,,,,,,
328,4,,Ca II,Tabernero,KELT-7 b,transit,Horus,2022,,,True,,,https://academic.oup.com/mnras/article-abstract/515/1/1247/6646523,,,,,,,,,,,,,,
329,0,,K,gibson,WASP-31 b,transit,UVES,2018,,,True,self-consistent model grid,"masking, sysrem",https://academic.oup.com/mnras/article/482/1/606/5126364,,,,,,,,,,,,,,
330,0,,K,gibson,WASP-121 b,transit,UVES,2022,,,True,retrieval,fast-filtering,https://academic.oup.com/mnras/article-abstract/512/3/4618/6510825,,,,,,,,,,,,,,
331,0,0.0,Fe,rainer,KELT-20 b,transit,HARPS-N,2021,,,True,parameterized model grid,normalization,https://www.aanda.org/articles/aa/pdf/2021/05/aa39247-20.pdf,,,,,,,,,,,,,,
332,0,3.0,Na,ridden-harper,55 Cancri e,transit,"UVES, HARPS-N",2016,,,True,parameterized model grid,PCA,https://www.aanda.org/articles/aa/pdf/2016/09/aa28448-16.pdf,,,,,,,,,,,,,,
333,1,4.1,Ca+,ridden-harper,55 Cancri e,transit,"UVES, HARPS-N",2016,,,True,parameterized model grid,PCA,https://www.aanda.org/articles/aa/pdf/2016/09/aa28448-16.pdf,,,,,,,,,,,,,,
334,0,,HCN,Deibert,55 Cancri e,transit,CARMENES,2021,,,True,,,https://iopscience.iop.org/article/10.3847/2041-8213/ac2513/pdf,,,,,,,,,,,,,,
335,1,,C2H2,Deibert,55 Cancri e,transit,CARMENES,2021,,,True,,,https://iopscience.iop.org/article/10.3847/2041-8213/ac2513/pdf,,,,,,,,,,,,,,
336,2,,NH3,Deibert,55 Cancri e,transit,CARMENES,2021,,,True,,,https://iopscience.iop.org/article/10.3847/2041-8213/ac2513/pdf,,,,,,,,,,,,,,
337,0,0.0,Ca+,deibert,WASP-76 b,transit,GRACES,2021,,,True,self-consistent model grid (CLOUDY),sysrem,https://iopscience.iop.org/article/10.3847/2041-8213/ac2513/pdf,,,,,,,,,,,,,,
338,0,,K,casasayas-barris,HD 209458 b,transit,UVES,2021,,,True,parameterized model grid,molecfit + DRP?,https://www.aanda.org/articles/aa/pdf/2021/03/aa39539-20.pdf,,,,,,,,,,,,,,
339,0,0.0,Na,langveld,WASP-76 b,transit,HARPS-N,2022,,-1.5,True,Line-fitting,molecfit,https://arxiv.org/pdf/2205.01623.pdf,,,,,,,,,,,,,,
340,0,10.5,Fe,F Stangret,KELT-20 b,transit,HARPS-N,2020,,,True,self-consistent model grid (petitRADTRANS),sysrem,https://www.aanda.org/articles/aa/pdf/2020/06/aa37541-20.pdf,,,,,,,,,,,,,,
341,1,8.6,Fe+,F Stangret,KELT-20 b,transit,HARPS-N,2020,,,True,self-consistent model grid (petitRADTRANS),sysrem,https://www.aanda.org/articles/aa/pdf/2020/06/aa37541-20.pdf,,,,,,,,,,,,,,
342,0,7.3,Fe,cont,WASP-33 b,transit,CARMENES,2021,,,True,parameterized model grid,sysrem,https://arxiv.org/pdf/2105.10230.pdf,,,,,,,,,,,,,,
343,1,4.9,TiO,cont,WASP-33 b,transit,CARMENES,2021,,,True,parameterized model grid,sysrem,https://arxiv.org/pdf/2105.10230.pdf,,,,,,,,,,,,,,
344,0,,TiO,jindal,55 Cancri e,transit,GRACES,2018,,,True,self-consistent model grid,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/aba1eb/meta,,,,,,,,,,,,,,
345,1,,VO,jindal,55 Cancri e,transit,GRACES,2018,,,True,self-consistent model grid,sysrem,https://iopscience.iop.org/article/10.3847/1538-3881/aba1eb/meta,,,,,,,,,,,,,,
346,0,4.3,TiO,serindag,WASP-33 b,transit,HDS,2021,,,False,self-consistent model grid,"masking, SVD",https://ui.adsabs.harvard.edu/abs/2021A%26A...645A..90S/abstract,,,,,,,,,,,,,,
347,0,6.5,H2O,buzard,HD 187123 b,emission,NIRSPEC,2020,,,True,self-consistent model grid,"PCA, molecfit",https://iopscience.iop.org/article/10.3847/1538-3881/ab8f9c/pdf,,,,,,,,,,,,,,
348,0,20.0,H alpha,yan,WASP-33 b,transit,"CARMENES, HARPS-N",2021,,,True,self-consistent model grid,theoretical Earth spectrum,https://ui.adsabs.harvard.edu/abs/2021A%26A...645A..22Y/abstract,,,,,,,,,,,,,,
349,1,8.0,H beta,yan,WASP-33 b,transit,"CARMENES, HARPS-N",2021,,,True,self-consistent model grid,theoretical Earth spectrum,https://ui.adsabs.harvard.edu/abs/2021A%26A...645A..22Y/abstract,,,,,,,,,,,,,,
350,2,2.3,H gamma,yan,WASP-33 b,transit,"CARMENES, HARPS-N",2021,,,True,self-consistent model grid,theoretical Earth spectrum,https://ui.adsabs.harvard.edu/abs/2021A%26A...645A..22Y/abstract,,,,,,,,,,,,,,
